time,action,inst_id,side,price,size,ord_id,sl_price,tp_price,pnl_pct,vol_ratio,rsi,atr,status
2026-03-14 15:56:52,网格买入 @0.0871,DOGE-USDT-SWAP,buy,0.0871,1,3388078564928086016,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:56:55,网格买入 @0.0886,DOGE-USDT-SWAP,buy,0.0886,1,3388078734881284096,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:56:58,网格买入 @0.0901,DOGE-USDT-SWAP,buy,0.0901,1,3388078836383440896,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:57:02,网格买入 @0.0916,DOGE-USDT-SWAP,buy,0.0916,1,3388078936308539392,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:57:05,网格买入 @0.0931,DOGE-USDT-SWAP,buy,0.0931,1,3388079045930868736,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:57:08,网格买入 @0.0946,DOGE-USDT-SWAP,buy,0.0946,1,3388079146191511552,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:57:11,网格卖出 @0.0962,DOGE-USDT-SWAP,sell,0.0962,1,3388079259639046144,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:57:14,网格卖出 @0.0977,DOGE-USDT-SWAP,sell,0.0977,1,3388079362248499200,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:57:18,网格卖出 @0.0992,DOGE-USDT-SWAP,sell,0.0992,1,3388079465763921920,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:57:21,网格卖出 @0.1007,DOGE-USDT-SWAP,sell,0.1007,1,3388079585620353024,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 15:57:25,网格卖出 @0.1022,DOGE-USDT-SWAP,sell,0.1022,1,3388079703161528320,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 16:07:21,网格买入 @0.0869,DOGE-USDT-SWAP,buy,0.0869,1,3388099722910064640,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 16:07:24,网格买入 @0.0884,DOGE-USDT-SWAP,buy,0.0884,1,3388099827700555776,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 16:07:27,网格买入 @0.0899,DOGE-USDT-SWAP,buy,0.0899,1,3388099935578054656,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 16:07:30,网格买入 @0.0915,DOGE-USDT-SWAP,buy,0.0915,1,3388100037013102592,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 16:07:33,网格买入 @0.093,DOGE-USDT-SWAP,buy,0.093,1,3388100142105583616,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 16:07:37,网格卖出 @0.096,DOGE-USDT-SWAP,sell,0.096,1,3388100242299117568,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 16:07:40,网格卖出 @0.0975,DOGE-USDT-SWAP,sell,0.0975,1,3388100359538302976,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 16:07:43,网格卖出 @0.0991,DOGE-USDT-SWAP,sell,0.0991,1,3388100477784121344,0,0,0.00,0.00,0.0,0.000000,success
